,0,1,2
0,apio,"Verduras, hortalizas, y derivados",21
1,fresa,Frutas y derivados,41
2,manzana,Frutas y derivados,54
3,arroz,Cereales y derivados,358
4,cafe,Misceláneos,203
5,cebolla,"Verduras, hortalizas, y derivados",32
6,res,Carnes y derivados,105
7,huevo,Huevos y derivados,141
8,leche,Leches y derivados,63
9,lechuga,"Verduras, hortalizas, y derivados",12
10,papa,"Tubérculos, raíces y derivados",97
11,platano,Frutas y derivados,83
12,aji,"Verduras, hortalizas, y derivados",39
13,pollo,Carnes y derivados,119
14,te,Misceláneos,308
15,tomate,"Verduras, hortalizas, y derivados",16
16,frijol,Leguminosas y derivados,339
