codigo,grupo,nombre,energykcal,energykj,water,prot,fat,chocdf,choavl,fib,fibtg,ash,ca,p,zn,fe,beta,retinol,vita,thia,ribf,nia,vitc,asct
A01,Cereales y derivados,"Achita, kiwicha o achis",343,1434,9.2,12.8,6.6,69.1,59.8,2.5,9.3,2.3,236,453,2.68,7.32,57,,0,0.09,0.18,1.58,1.3,
A02,Cereales y derivados,Arroz pilado o pulido cocido,115,480,72.2,2.4,0.1,25.2,25.2,0.1,,0.1,11,30,0.42,0.3,,,0,0,0,0.24,0,
A03,Cereales y derivados,Arroz blanco corriente,358,1500,13.4,7.8,0.7,77.6,77.6,0.4,,0.5,6,134,1.51,1.04,0,,,0.11,0.04,2.19,0.9,
A04,Cereales y derivados,Arroz con cáscara,325,1362,11.9,5.9,2,75.7,71.6,9.9,4.1,4.5,40,185,0.2,,,0,0,0.16,0.07,3.85,0,
A05,Cereales y derivados,Avena envasada,380,1592,6.1,13.7,4.7,71.3,71.3,0.5,,4.2,51,713,3.97,3.5,,0,0,0.55,0.12,1.5,0,
A06,Cereales y derivados,"Avena, hojuela cocida",54,224,87.1,1.3,0.5,10.9,10.9,0.2,,0.2,21,42,,0.5,,,,0,0.01,0.22,0,
A07,Cereales y derivados,"Avena, hojuela cruda",326,1364,8.8,13.3,4,72.2,61.6,1.7,10.6,1.7,49,407,3.97,4.1,,,0,0.15,0.09,1,0,
A08,Cereales y derivados,Cañihua amarilla,344,1439,12,14.3,5,62.8,62.8,9.4,,5.9,87,335,,10.8,,,,0.62,0.51,1.2,2.2,
A09,Cereales y derivados,Cañihua gris,343,1437,12.4,14,4.5,64,64,9.8,,5.1,110,375,,13,,,,0.47,0.65,1.13,1.1,
A10,Cereales y derivados,"Cañihua, hojuelas de",376,1572,8.1,17.6,8.3,60.7,60.7,10.2,,5.3,141,387,,12,,,,0.67,0.3,1.45,0,
A11,Cereales y derivados,Cañihua parda,343,1435,12.2,13.8,3.5,66.2,66.2,11,,4.3,171,496,,15,,,,0.57,0.75,1.56,0,
A12,Cereales y derivados,Cebada con cáscara,289,1210,9.7,8.4,2,77.5,60.2,7.3,17.3,2.4,61,320,2.78,4.58,313,2,1,0.24,0.08,7.86,0,
A13,Cereales y derivados,"Cebada, llunka de (morón americano)",252,1054,18.5,1.9,0.7,77.1,59.8,1.3,17.3,1.8,42,283,2.77,9.7,,0,1,0.25,0.18,2.25,2.1,
A14,Cereales y derivados,"Cebada, mashka o machica",306,1279,10,8.6,0.7,77.4,67.3,6.6,10.1,3.3,74,320,2,12.3,,0,0,0.12,0.25,8.7,1.9,
A15,Cereales y derivados,"Cebada para mote, pelada",328,1372,15.4,8.2,1.1,73.3,73.3,1.3,,2,47,202,,3.6,,0,,0.07,0.11,8.75,0,
A16,Cereales y derivados,"Cebada tostada, harina integral",282,1180,5.6,8.68,3.2,80.2,54.6,,25.4,2.5,,,,9.6,,,,,,,,
A17,Cereales y derivados,Cebada perlada o resbalada cocida,60,251,81,1,0.1,17.7,13.9,0.1,3.8,0.2,9,35,0.82,0.9,,,0,0,0.01,0.58,0,
A18,Cereales y derivados,Cebada perlada o resbalada cruda,281,1174,13.3,5.3,0.6,79.8,64.2,0.5,15.6,1,18,162,2.13,4,,,1,0.03,0.04,3.5,2,
A19,Cereales y derivados,Cebada tostada y molida (chaquepa),349,1460,9.9,7.7,0.8,79.7,79.7,5.3,,1.9,55,253,,7.1,,0,,0.12,0.18,9.6,0,
A20,Cereales y derivados,Chancay (bizcocho),355,1485,19.4,8.8,6.9,64.4,64.4,1.1,,0.5,47,108,,1,,0,,0.11,0.23,1.06,0,
A21,Cereales y derivados,Fideo crudo fortificado con hierro,337,1412,12.1,9.4,0.2,77.7,74.5,0.5,3.2,0.6,24,150,1.26,5.5,,0,0,0.13,0.13,1.5,0,
A22,Cereales y derivados,Fideo tallarín crudo fortificado con hierro,305,1274,20.4,9.5,0.1,69.6,66.4,1.1,3.2,0.4,40,137,1.26,5.5,,20,0,0.12,0.08,1,0,
A23,Cereales y derivados,Fideo tallarín sancochado fortiticado con hierro,90,378,75.5,3.1,0,21.3,19.5,0.4,1.8,0.1,25,25,0.5,1.35,,0,0,0.02,0.04,0.17,0,
A24,Cereales y derivados,Galleta de soda (salada),433,1810,4.8,10.1,14.7,68,65,0.7,3,2.4,38,134,0.83,1.5,,1,0,0.17,0.1,1.17,0,
A25,Cereales y derivados,Galleta de vainilla (dulce),434,1814,4.8,6,12.7,74.9,73.8,0.9,1.1,1.6,22,665,0.64,0.6,,0,0,0.04,0.04,0.5,0,
A26,Cereales y derivados,Maíz alazán,346,1449,13.7,8.2,3.7,72.7,72.7,2.2,,1.7,14,377,,0.7,,16,,0.32,0.22,2.15,2.5,
A27,Cereales y derivados,Maíz alazán (jora fresca),289,1210,28.1,5.4,2.8,62.3,62.3,0.5,,1.4,23,275,,,,4,,0.28,0.4,3.4,,
A28,Cereales y derivados,Maíz alazán (jora seca),347,1450,13.8,7,3.6,73.8,73.8,1.7,,1.8,38,346,,0.5,,6,,0.38,0.29,3.6,,
A29,Cereales y derivados,Maíz amarillo,355,1486,13.5,6.7,4.8,73.6,73.6,3.8,,1.4,6,267,1.51,1.92,352,2,0,0.29,0.06,2.17,0.7,
A30,Cereales y derivados,"Maíz, blanco crudo",341,1428,12.7,5.9,4,76.1,72.9,1.9,3.2,1.3,5,249,1.91,1.48,0,,0.5,0.25,0.05,2.26,2.6,
A31,Cereales y derivados,"Maíz, blanco tostado",389,1628,4.6,7.2,4.6,82.1,82.1,4.4,,1.5,6,270,,2.6,,,,0.01,0.01,0.54,0,
A32,Cereales y derivados,"Maíz, cancha tostada",339,1420,9.5,6.7,2.7,79.8,74.6,4.3,5.2,1.3,11,221,0.58,2.7,,2,2,0.15,0.34,2.73,9.8,
A33,Cereales y derivados,Maíz (chochoca),349,1462,13,5.2,2.5,78,78,3.4,,1.3,12,190,,1.5,,0,,0.33,0.11,2.85,0.7,
A34,Cereales y derivados,"Maíz, grano fresco (choclo)",115,482,67.3,3.3,0.8,27.8,25.1,1.5,2.7,0.8,8,113,0.45,0.8,,0,0,0.14,0.07,1.44,4.8,
A35,Cereales y derivados,"Maíz, germinado seco",314,1313,22,6.2,3.2,67,67,0.4,,1.6,22,285,,0.4,,4,,0.28,0.36,3.02,,
A36,Cereales y derivados,"Maíz, harina de",325,1358,11.9,8.7,6.5,71.2,61.6,3.9,9.6,1.7,64,454,1.73,2,,,0,0.45,0.13,2.25,1.2,
A37,Cereales y derivados,"Maíz, maicena",363,1517,8.3,0.26,0.1,91.3,90.4,0,0.9,0.1,2,13,0.06,,,,0.5,0,0,0,0,
A38,Cereales y derivados,"Maíz, morado sin coronta",355,1487,11.4,7.3,3.4,76.2,76.2,1.8,,1.7,12,328,,0.2,,8,,0.38,0.22,2.84,2.1,
A39,Cereales y derivados,"Maíz, mote de (sancochado)",103,431,74.5,2.6,1.3,21.1,21.1,1.4,,0.5,14,78,,1.2,,0,,0.03,0.09,0.54,0,
A40,Cereales y derivados,"Maíz, pachuco de",349,1459,13.4,7.3,3.9,73.5,73.5,1.7,,1.9,89,348,,3.7,,5,,0.41,0.31,2.87,3.9,
A41,Cereales y derivados,"Maíz, para mote pelado",349,1461,12.6,5.9,2.1,78.3,78.3,2.3,,1.1,47,187,,3.8,,0,,0.16,0.08,2.64,1.9,
A42,Cereales y derivados,"Maíz, para mote sin pelar",345,1445,12.8,5.7,1.5,78.7,78.7,3,,1.3,9,166,,4.4,,0,,0.26,0.14,2.63,2.1,
A43,Cereales y derivados,"Maíz, polenta cruda de",322,1349,13.3,8.3,1.2,74,72.4,1.2,1.6,3.2,70,58,0.41,2,,,0,0.09,0.06,4.45,0.9,
A44,Cereales y derivados,"Maíz, tocosh crudo",192,803,52.7,2.6,2.2,41.3,41.3,1.4,,1.2,11,44,,,,0,,0.02,0.2,1.25,0.8,
A45,Cereales y derivados,Pan de cebada (serrano),295,1236,24.4,7.2,0.2,66.2,66.2,2.6,,2,60,224,,6.5,,0,,0.3,0.23,6.35,,
A46,Cereales y derivados,Pan de labranza,328,1374,17.3,9.6,0.3,71.8,71.8,1.2,,1,40,107,,1.6,,0,,0.13,0.14,1.22,1,
A47,Cereales y derivados,Pan de molde,317,1326,20.8,6.8,2.5,69.2,66.8,,2.4,0.7,13,60,0.74,0.4,,,0,0.08,0.16,1.22,0,
A48,Cereales y derivados,Pan francés,277,1161,27,8.4,0.2,62.9,60.5,0.6,2.4,1.5,35,101,0.74,1,,0,0,0.11,0.16,1.14,1,
A49,Cereales y derivados,Pan francés fortificado con hierro,277,1161,27,8.4,0.2,62.9,60.5,0.6,2.4,1.5,35,101,0.74,3.14,,0,0,0.33,0.26,3.14,1,
